mas_vnr_area,totrms_abvgrd,full_bath,year_remod_add,year_built,1st_flr_sf,total_bsmt_sf,garage_cars,garage_area,gr_liv_area,overall_qual,saleprice
289.0,6,2,2005,1976,725,725.0,2.0,475.0,1479,6,130500
132.0,8,2,1997,1996,913,913.0,2.0,559.0,2122,7,220000
0.0,5,1,2007,1953,1057,1057.0,1.0,246.0,1057,5,109000
0.0,7,2,2007,2006,744,384.0,2.0,400.0,1444,5,174000
0.0,6,2,1993,1900,831,676.0,2.0,484.0,1445,6,138500
0.0,6,2,2002,1966,1888,1517.0,2.0,578.0,1888,6,190000
82.0,5,2,2006,2005,1072,547.0,2.0,525.0,1072,6,140000
180.0,6,1,1959,1959,1188,1188.0,2.0,531.0,1188,5,142000
0.0,6,1,1952,1952,924,924.0,1.0,420.0,924,5,112500
192.0,9,1,1969,1969,1040,1040.0,2.0,504.0,2080,5,135000
232.0,4,1,1971,1971,483,483.0,1.0,264.0,987,6,85400
0.0,6,2,2005,2005,1208,1208.0,2.0,632.0,1208,7,183600
0.0,7,1,2007,1880,1288,0.0,2.0,576.0,2016,5,131000
456.0,7,2,2000,1999,962,960.0,2.0,480.0,1607,8,200000
0.0,6,2,2007,2007,1361,1351.0,2.0,610.0,1361,7,193000
0.0,7,2,2005,2004,1430,1430.0,2.0,624.0,1430,5,173500
0.0,7,1,1950,1916,624,624.0,3.0,513.0,1344,5,98000
0.0,5,1,1963,1963,1121,1121.0,2.0,480.0,1121,5,139000
148.0,7,1,1977,1977,1285,660.0,2.0,528.0,1285,6,143500
0.0,7,2,2009,2009,764,756.0,2.0,614.0,1547,7,215200
0.0,5,1,1968,1968,894,894.0,2.0,450.0,894,5,129000
0.0,5,2,2000,2000,1659,1501.0,2.0,499.0,1659,8,278000
0.0,8,2,2006,2005,1209,1209.0,2.0,575.0,2253,8,344133
0.0,6,2,2007,1992,1187,1168.0,2.0,420.0,1187,6,185000
0.0,5,1,1955,1955,1056,1056.0,2.0,572.0,1056,5,145000
3.0,6,2,1961,1961,1453,1453.0,2.0,530.0,1453,6,187500
0.0,5,1,2009,1965,894,894.0,1.0,336.0,894,5,138500
